_id,A_X,A_Y,A_Z
65e0dd708b10dd494e78066a,0.09399,0.00806,1.16772
65e0dd708b10dd494e78066b,0.13623,0.02612,1.15381
65e0dd708b10dd494e78066c,0.12988,-0.05493,1.16870
65e0dd708b10dd494e78066d,0.09155,0.02124,1.16138
65e0dd708b10dd494e78066e,0.12402,0.02124,1.16284
65e0dd708b10dd494e78066f,0.12524,-0.04517,1.17529
65e0dd708b10dd494e780670,0.07202,0.02539,1.16626
65e0dd708b10dd494e780671,0.14258,0.01904,1.16138
65e0dd708b10dd494e780672,0.13989,-0.06323,1.16284
65e0dd708b10dd494e780673,0.07031,0.03589,1.16919
65e0dd708b10dd494e780674,0.13525,-0.01978,1.16235
65e0dd708b10dd494e780675,0.14893,-0.01953,1.16211
65e0dd708b10dd494e780676,0.05591,0.00171,1.16382
65e0dd708b10dd494e780677,0.18286,-0.00317,1.15405
65e0dd708b10dd494e780678,0.15869,-0.05029,1.16846
65e0dd708b10dd494e780679,0.03906,0.03052,1.16455
65e0dd708b10dd494e78067a,0.12646,0.05151,1.16748
65e0dd708b10dd494e78067b,0.16016,-0.06787,1.16504
65e0dd708b10dd494e78067c,0.14209,-0.03760,1.16260
65e0dd708b10dd494e78067d,0.10815,0.06982,1.17212
65e0dd708b10dd494e78067e,0.12769,-0.07080,1.17236
65e0dd708b10dd494e78067f,0.15063,0.01416,1.16772
65e0dd708b10dd494e780680,0.07471,0.01538,1.16846
65e0dd708b10dd494e780681,0.05127,0.00317,1.16724
65e0dd708b10dd494e780682,0.16162,0.01953,1.16357
65e0dd708b10dd494e780683,0.12744,-0.04321,1.17236
65e0dd708b10dd494e780684,0.08862,0.02759,1.16284
65e0dd708b10dd494e780685,0.14355,-0.01733,1.16626
65e0dd708b10dd494e780686,0.09058,0.03784,1.17334
65e0dd708b10dd494e780687,0.09180,0.00146,1.16455
65e0dd708b10dd494e780688,0.12964,-0.02246,1.15942
65e0dd708b10dd494e780689,0.09033,0.06079,1.16455
65e0dd708b10dd494e78068a,0.11499,-0.05127,1.16528
65e0dd708b10dd494e78068b,0.11743,0.02246,1.15063
65e0dd708b10dd494e78068c,0.09912,0.02466,1.16626
65e0dd708b10dd494e78068d,0.16187,-0.05737,1.16577
65e0dd708b10dd494e78068e,0.09155,0.00464,1.15576
65e0dd708b10dd494e78068f,0.12280,0.02954,1.16040
65e0dd708b10dd494e780690,0.14355,-0.05078,1.16479
65e0dd708b10dd494e780691,0.08032,0.03809,1.15747
65e0dd708b10dd494e780692,0.10571,0.02808,1.16699
65e0dd708b10dd494e780693,0.14795,-0.04834,1.17480
65e0dd708b10dd494e780694,0.07471,0.01611,1.16162
65e0dd708b10dd494e780695,0.11279,0.01270,1.16284
65e0dd708b10dd494e780696,0.10986,-0.01611,1.17017
65e0dd708b10dd494e780697,0.09473,-0.01001,1.16895
65e0dd708b10dd494e780698,0.13013,0.01294,1.15698
65e0dd708b10dd494e780699,0.09424,-0.01025,1.16992
65e0dd708b10dd494e78069a,0.11499,-0.00488,1.16284
65e0dd708b10dd494e78069b,0.12915,-0.01123,1.16016
65e0dd708b10dd494e78069c,0.11621,0.02002,1.15552
65e0dd708b10dd494e78069d,0.09937,-0.03418,1.16992
65e0dd708b10dd494e78069e,0.11328,0.01001,1.15967
65e0dd708b10dd494e78069f,0.10938,0.02197,1.16382
65e0dd708b10dd494e7806a0,0.13110,-0.03027,1.16138
65e0dd708b10dd494e7806a1,0.10327,0.02075,1.16797
65e0dd708b10dd494e7806a2,0.10059,0.01172,1.16064
65e0dd708b10dd494e7806a3,0.12964,-0.02783,1.17285
65e0dd708b10dd494e7806a4,0.12427,0.00366,1.16431
65e0dd708b10dd494e7806a5,0.09937,0.02954,1.16431
65e0dd708b10dd494e7806a6,0.14868,-0.03809,1.17065
65e0dd708b10dd494e7806a7,0.08984,0.02002,1.16235
65e0dd708b10dd494e7806a8,0.11499,-0.01172,1.16333
65e0dd708b10dd494e7806a9,0.15015,-0.00464,1.16943
65e0dd708b10dd494e7806aa,0.09277,0.00708,1.16406
65e0dd708b10dd494e7806ab,0.10303,-0.00342,1.16333
65e0dd708b10dd494e7806ac,0.15796,0.01196,1.16504
65e0dd708b10dd494e7806ad,0.05591,-0.03687,1.15430
65e0dd708b10dd494e7806ae,0.14038,0.02368,1.16992
65e0dd708b10dd494e7806af,0.10229,0.00806,1.16992
65e0dd708b10dd494e7806b0,0.09302,-0.03320,1.17334
65e0dd708b10dd494e7806b1,0.13232,0.00928,1.15576
65e0dd708b10dd494e7806b2,0.10718,0.04346,1.17017
65e0dd708b10dd494e7806b3,0.12744,-0.06787,1.17065
65e0dd708b10dd494e7806b4,0.10132,0.03125,1.15747
65e0dd708b10dd494e7806b5,0.11719,-0.00024,1.15845
65e0dd708b10dd494e7806b6,0.14966,-0.04785,1.17432
65e0dd708b10dd494e7806b7,0.09277,0.01660,1.16284
65e0dd708b10dd494e7806b8,0.11426,-0.00635,1.16479
65e0dd708b10dd494e7806b9,0.13428,-0.01074,1.16943
65e0dd708b10dd494e7806ba,0.09375,0.00757,1.16211
65e0dd708b10dd494e7806bb,0.10034,-0.00098,1.16992
65e0dd708b10dd494e7806bc,0.13916,0.03589,1.17749
65e0dd708b10dd494e7806bd,0.08472,-0.06079,1.17090
65e0dd708b10dd494e7806be,0.12671,0.02417,1.17407
65e0dd708b10dd494e7806bf,0.10522,0.01929,1.17236
65e0dd708b10dd494e7806c0,0.12207,0.00537,1.16772
65e0dd708b10dd494e7806c1,0.14551,-0.05615,1.17236
65e0dd708b10dd494e7806c2,0.08691,0.02466,1.17065
65e0dd708b10dd494e7806c3,0.13525,0.00830,1.15942
65e0dd708b10dd494e7806c4,0.12476,-0.04297,1.16943
65e0dd708b10dd494e7806c5,0.11279,0.01489,1.16821
65e0dd708b10dd494e7806c6,0.11523,0.02100,1.15942
65e0dd708b10dd494e7806c7,0.11865,-0.03784,1.16284
65e0dd708b10dd494e7806c8,0.11353,0.02686,1.16504
65e0dd708b10dd494e7806c9,0.10913,0.00073,1.16089
65e0dd708b10dd494e7806ca,0.12622,0.01123,1.16650
65e0dd708b10dd494e7806cb,0.08154,-0.02832,1.16406
65e0dd708b10dd494e7806cc,0.14331,-0.00513,1.15454
65e0dd708b10dd494e7806cd,0.11206,0.04224,1.16577
65e0dd708b10dd494e7806ce,0.10693,-0.05786,1.16724
65e0dd708b10dd494e7806cf,0.13452,0.03784,1.15576
65e0dd708b10dd494e7806d0,0.07471,-0.00952,1.16943
65e0dd708b10dd494e7806d1,0.14111,0.00098,1.16870
65e0dd708b10dd494e7806d2,0.08618,-0.01660,1.16602
65e0dd708b10dd494e7806d3,0.11646,0.01880,1.15698
65e0dd708b10dd494e7806d4,0.12549,0.01001,1.16748
65e0dd708b10dd494e7806d5,0.08911,-0.04639,1.15308
65e0dd708b10dd494e7806d6,0.14404,0.04883,1.16016
65e0dd708b10dd494e7806d7,0.09424,-0.03149,1.17627
65e0dd708b10dd494e7806d8,0.10938,-0.00708,1.16797
65e0dd708b10dd494e7806d9,0.13306,0.01050,1.15747
65e0dd708b10dd494e7806da,0.10815,0.02881,1.17090
65e0dd708b10dd494e7806db,0.11938,0.00244,1.17261
65e0dd708b10dd494e7806dc,0.12793,-0.02173,1.16650
65e0dd708b10dd494e7806dd,0.12354,-0.00415,1.16382
65e0dd708b10dd494e7806de,0.10767,-0.01855,1.16772
65e0dd708b10dd494e7806df,0.10767,0.00317,1.17725
65e0dd708b10dd494e7806e0,0.11499,0.00903,1.17285
65e0dd708b10dd494e7806e1,0.09131,-0.02393,1.16699
65e0dd708b10dd494e7806e2,0.11890,0.02295,1.17456
65e0dd708b10dd494e7806e3,0.13477,0.00562,1.16284
65e0dd708b10dd494e7806e4,0.10791,-0.02002,1.16919
65e0dd708b10dd494e7806e5,0.09180,-0.00049,1.17285
65e0dd708b10dd494e7806e6,0.11963,0.03003,1.17725
65e0dd708b10dd494e7806e7,0.12524,-0.02295,1.16772
65e0dd708b10dd494e7806e8,0.11816,-0.01318,1.16260
65e0dd708b10dd494e7806e9,0.11816,-0.00488,1.16895
