_id,A_X,A_Y,A_Z
65e0db458b10dd494e77fd50,0.11182,0.00049,1.16699
65e0db458b10dd494e77fd51,0.11353,-0.00146,1.16626
65e0db458b10dd494e77fd52,0.11890,-0.00244,1.17529
65e0db458b10dd494e77fd53,0.11450,-0.00293,1.16040
65e0db458b10dd494e77fd54,0.10962,-0.00415,1.16187
65e0db458b10dd494e77fd55,0.11182,-0.00562,1.16553
65e0db458b10dd494e77fd56,0.11230,-0.00366,1.17383
65e0db458b10dd494e77fd57,0.11279,-0.00146,1.16382
65e0db458b10dd494e77fd58,0.11182,-0.00586,1.16406
65e0db458b10dd494e77fd59,0.10596,-0.00415,1.15820
65e0db458b10dd494e77fd5a,0.11401,-0.00293,1.16724
65e0db458b10dd494e77fd5b,0.11328,0.00366,1.16357
65e0db458b10dd494e77fd5c,0.11108,-0.00269,1.16455
65e0db458b10dd494e77fd5d,0.11670,-0.00073,1.15942
65e0db458b10dd494e77fd5e,0.11206,-0.00708,1.17261
65e0db458b10dd494e77fd5f,0.10962,-0.00562,1.15991
65e0db458b10dd494e77fd60,0.10767,0.00049,1.16284
65e0db458b10dd494e77fd61,0.11353,-0.00415,1.16040
65e0db458b10dd494e77fd62,0.11011,-0.00220,1.15649
65e0db458b10dd494e77fd63,0.11426,-0.00220,1.17065
65e0db458b10dd494e77fd64,0.11987,-0.00439,1.15918
65e0db458b10dd494e77fd65,0.10498,-0.00488,1.16504
65e0db458b10dd494e77fd66,0.11182,-0.00586,1.16870
65e0db458b10dd494e77fd67,0.11621,0.00342,1.15845
65e0db458b10dd494e77fd68,0.11279,-0.00171,1.16968
65e0db458b10dd494e77fd69,0.11230,-0.00342,1.16504
65e0db458b10dd494e77fd6a,0.11401,-0.01050,1.16650
65e0db458b10dd494e77fd6b,0.11157,-0.00488,1.17456
65e0db458b10dd494e77fd6c,0.11792,-0.00513,1.17285
65e0db458b10dd494e77fd6d,0.11963,-0.00537,1.17090
65e0db458b10dd494e77fd6e,0.10718,-0.00635,1.16309
65e0db458b10dd494e77fd6f,0.10278,-0.00708,1.16455
65e0db458b10dd494e77fd70,0.11499,0.00000,1.16357
65e0db458b10dd494e77fd71,0.11548,-0.01099,1.16455
65e0db458b10dd494e77fd72,0.11230,-0.00439,1.16626
65e0db458b10dd494e77fd73,0.11157,-0.00439,1.17358
